@Miickass	A dormir con el Goordo	Fri May 01 23:13:42 EDT 2015	-37.01499,-57.139223
@Heni_Damanik	Seru... Asyik... #bersih2sekolah bareng temen @SGIDompetDhuafa di daerah.. 'Thanks guy..	Fri May 01 23:13:44 EDT 2015	-6.466698,106.727885
@Listersmate	#SGU  :-P @ 300 W Washington Street Galax VA 24333 https://t.co/PBqoNmxcuC	Fri May 01 23:13:48 EDT 2015	36.663182,-80.928124
@LUKEPAR4DISE	La re puta madre, porque no podemoss volver a repetir esto que nos hizo tan bien	Fri May 01 23:13:59 EDT 2015	-34.489782,-58.843106
@taman_xoxo	@725_tm  次は大島店やね😍	Fri May 01 23:14:02 EDT 2015	31.949848,131.432364
@CornelisaaDeaa	😍😘😙😗 (with Andriani, Tizzani, and 2 others at Royal Safari Garden Resort & Convention) — https://t.co/CDYBfNIvKs	Fri May 01 23:14:03 EDT 2015	-6.67647,106.9342
@Ulfah290191	Sabtu pagi indosat #LoveIndosat @IndosatCare yippi (at Indosat Head Office) [pic] — https://t.co/fQ50ZfotT8	Fri May 01 23:14:07 EDT 2015	-6.18232,106.82356
@GabyWilbrich_	Saudade ? Desconheço esse sentimento	Fri May 01 23:14:08 EDT 2015	-29.779019,-51.155657
@hi052163	めっちゃいい歌だ🐥	Fri May 01 23:14:09 EDT 2015	32.761677,130.762867
@QhamaniMinho	Ayt "@Rebel_Reyah: @QhamaniMinho pfb"	Fri May 01 23:14:16 EDT 2015	-30.543971,29.414395
@anisszni	Me turn to be monkeys after a such hectic week of assignments 😂🐒 @ Penang Escape Theme Park https://t.co/DLZcDAH3gc	Fri May 01 23:14:17 EDT 2015	5.449146,100.215505
@jdk_life	@zigizigiex ぜったいいく！ツーリングもいく！	Fri May 01 23:14:18 EDT 2015	35.130061,137.035545
@Mosttfamxousone	@verro33 that sucks big time	Fri May 01 23:14:22 EDT 2015	34.097586,-117.636016
@iFyka	I'm at Plus Highway https://t.co/kuXeG9Lc1m	Fri May 01 23:14:29 EDT 2015	2.75697,101.847078
@rishivats1	Love youuuuuuuuuuuuuuuuuu http://t.co/4Xolj249zz	Fri May 01 23:14:39 EDT 2015	28.597533,76.915578
@Jefferey7	@colbybmxhall you just need two right?	Fri May 01 23:14:42 EDT 2015	44.047219,-123.034371
@VikiAbramo	Pintó chocolates🍫	Fri May 01 23:14:42 EDT 2015	-31.728618,-65.010155
@ninee_liu	เวลาแห่งการบริจาคมาแล้ว @ Suvanabhumi International Airport (Bangkok ) PAL  Check- In Counter https://t.co/kqA4a9UGtF	Fri May 01 23:14:43 EDT 2015	13.692344,100.750529
@aq332013	@DianaHaddad @Rashid_AlSaeed 🌹🌹🌹  عظمه  على  عظمه  يا ديونة  #دنادين_مالكم_حل	Fri May 01 23:14:48 EDT 2015	26.2608,50.190872
@aq332013	@DianaHaddad  يا حب  يا عشق  يا ديانا  🌹🌹🌹  #دنادين_مالكم_حل	Fri May 01 23:14:48 EDT 2015	26.2608,50.190872
@TGrumbach	Had my last official meeting with my Intern Advisory Board with Fr. Tom and a visit from Fr. Tom.… https://t.co/iTiJb5HJHr	Fri May 01 23:14:51 EDT 2015	34.700191,-118.140179
@NudiaDiya	With Banyak at Sasana Budaya Ganesha (Sabuga) — https://t.co/lyKuNtOWsP	Fri May 01 23:14:54 EDT 2015	-6.88646,107.60783
@CandeCara	"@CaamiRodriguez5: 23 DE MAYO FIESTA"	Fri May 01 23:15:00 EDT 2015	-34.654282,-59.419673
@MacKidSantaMon	And the super heroes are off to fight the bad guys #santamonicamacaronikid #smmk #familyfun… https://t.co/DmB2fOjCW8	Fri May 01 23:15:05 EDT 2015	33.958264,-118.342051
@MAD_angelao	Твиттер и ватсапп опять с временем тупить начали. Плюс ещё и инстаграм Время Токио больше не действует	Fri May 01 23:15:06 EDT 2015	62.032423,129.714683
@h4rdcorr	I hate that I always feel unappreciated	Fri May 01 23:15:09 EDT 2015	42.258977,-71.123424
@RafaOrtizG	Wind 5,0 km/h ESE. Barometer 1019,5 mb, Rising. Temperature 22,7 °C. Rain today 0,0 mm. Humidity 37%	Fri May 01 23:15:10 EDT 2015	28.422222,-100.768056
@amalia_nada	Nyempatin chek in ! Busy day 🙌 (at @re_mixbjm) — https://t.co/Hz9AXuHvF4	Fri May 01 23:15:11 EDT 2015	-3.32643,114.61723
@phonakins	I'm at Cavill Avenue in Surfers Paradise, QLD https://t.co/9SMNJEUDT9	Fri May 01 23:15:11 EDT 2015	-28.00192,153.429448
@TobiasGastonn	Que lindo sería tener que irme a dormir para jugar mañana pero no, no hay fecha por falta de arbitros hablame de liga empuada	Fri May 01 23:15:11 EDT 2015	-29.711378,-57.088419
